date,zcta,deathrate
3/2020,10001,NA
3/2020,10002,30.5
3/2020,10003,9.3
3/2020,10004,0
3/2020,10005,0
3/2020,10006,NA
3/2020,10007,NA
3/2020,10009,17.5
3/2020,10010,NA
3/2020,10011,18.1
3/2020,10012,NA
3/2020,10013,NA
3/2020,10014,16.5
3/2020,10016,19.6
3/2020,10017,NA
3/2020,10018,NA
3/2020,10019,NA
3/2020,10021,24
3/2020,10022,NA
3/2020,10023,19.4
3/2020,10024,20.5
3/2020,10025,24
3/2020,10026,12.9
3/2020,10027,26.8
3/2020,10028,NA
3/2020,10029,32
3/2020,10030,47.8
3/2020,10031,22
3/2020,10032,41.2
3/2020,10033,25.6
3/2020,10034,18.9
3/2020,10035,56.8
3/2020,10036,22
3/2020,10037,38.5
3/2020,10038,NA
3/2020,10039,NA
3/2020,10040,40.9
3/2020,10044,77.1
3/2020,10065,NA
3/2020,10069,NA
3/2020,10075,52.1
3/2020,10128,NA
3/2020,10280,0
3/2020,10282,0
3/2020,10301,25.7
3/2020,10302,27
3/2020,10303,NA
3/2020,10304,54.9
3/2020,10305,NA
3/2020,10306,30.3
3/2020,10307,NA
3/2020,10308,NA
3/2020,10309,24.3
3/2020,10310,34.1
3/2020,10312,27.8
3/2020,10314,24.9
3/2020,10451,38
3/2020,10452,23.9
3/2020,10453,38.1
3/2020,10454,29.1
3/2020,10455,16.7
3/2020,10456,36.5
3/2020,10457,36.6
3/2020,10458,13.3
3/2020,10459,35.5
3/2020,10460,25.5
3/2020,10461,34.6
3/2020,10462,37.2
3/2020,10463,42.9
3/2020,10464,NA
3/2020,10465,20.9
3/2020,10466,49.1
3/2020,10467,53.9
3/2020,10468,30.8
3/2020,10469,79.9
3/2020,10470,NA
3/2020,10471,37.7
3/2020,10472,41.2
3/2020,10473,37.2
3/2020,10474,NA
3/2020,10475,84.2
3/2020,11004,26.4
3/2020,11101,24.4
3/2020,11102,49.9
3/2020,11103,20
3/2020,11104,43.2
3/2020,11105,13.8
3/2020,11106,16
3/2020,11109,0
3/2020,11201,19.3
3/2020,11203,68.2
3/2020,11204,29.8
3/2020,11205,NA
3/2020,11206,24.2
3/2020,11207,35.9
3/2020,11208,28.3
3/2020,11209,20.7
3/2020,11210,38.1
3/2020,11211,25.6
3/2020,11212,64.9
3/2020,11213,32.5
3/2020,11214,10.8
3/2020,11215,8.6
3/2020,11216,21.9
3/2020,11217,26.9
3/2020,11218,29.7
3/2020,11219,25.5
3/2020,11220,16.9
3/2020,11221,14.7
3/2020,11222,NA
3/2020,11223,20.9
3/2020,11224,23.8
3/2020,11225,48.7
3/2020,11226,58.5
3/2020,11228,24.5
3/2020,11229,29.9
3/2020,11230,34.9
3/2020,11231,18.7
3/2020,11232,NA
3/2020,11233,39
3/2020,11234,37.2
3/2020,11235,34.5
3/2020,11236,56.6
3/2020,11237,35.4
3/2020,11238,14.9
3/2020,11239,84.5
3/2020,11354,40.8
3/2020,11355,17.8
3/2020,11356,NA
3/2020,11357,NA
3/2020,11358,19.4
3/2020,11360,NA
3/2020,11361,NA
3/2020,11362,NA
3/2020,11363,0
3/2020,11364,NA
3/2020,11365,27.4
3/2020,11366,42.2
3/2020,11367,19.7
3/2020,11368,68.9
3/2020,11369,83.3
3/2020,11370,28.3
3/2020,11372,82.4
3/2020,11373,44.7
