zip,modzcta,dbn,n_hs_applicants,n_testers,n_offers,year,borough,positive,total,modzcta_cum_perc_pos
10001,10001,02M933,5,5,5,2015,MANHATTAN,365,2373,15.4
10001,10001,02M933,91,23,5,2016,MANHATTAN,365,2373,15.4
10001,10001,02M933,78,17,5,2017,MANHATTAN,365,2373,15.4
10001,10001,02M933,60,10,5,2019,MANHATTAN,365,2373,15.4
10001,10001,02M933,41,5,5,2020,MANHATTAN,365,2373,15.4
10002,10002,01M140,14,14,5,2015,MANHATTAN,1053,5047,20.9
10002,10002,01M184,39,39,19,2015,MANHATTAN,1053,5047,20.9
10002,10002,01M188,5,5,5,2015,MANHATTAN,1053,5047,20.9
10002,10002,01M332,5,5,5,2015,MANHATTAN,1053,5047,20.9
10002,10002,01M378,14,14,5,2015,MANHATTAN,1053,5047,20.9
10002,10002,01M539,114,114,81,2015,MANHATTAN,1053,5047,20.9
10002,10002,02M131,57,57,12,2015,MANHATTAN,1053,5047,20.9
10002,10002,01M140,59,10,5,2016,MANHATTAN,1053,5047,20.9
10002,10002,01M184,80,64,28,2016,MANHATTAN,1053,5047,20.9
10002,10002,01M188,60,11,5,2016,MANHATTAN,1053,5047,20.9
10002,10002,01M332,88,13,5,2016,MANHATTAN,1053,5047,20.9
10002,10002,01M378,88,10,5,2016,MANHATTAN,1053,5047,20.9
10002,10002,01M539,121,109,77,2016,MANHATTAN,1053,5047,20.9
10002,10002,02M131,169,61,17,2016,MANHATTAN,1053,5047,20.9
10002,10002,01M140,67,6,5,2017,MANHATTAN,1053,5047,20.9
10002,10002,01M184,88,67,23,2017,MANHATTAN,1053,5047,20.9
10002,10002,01M188,59,5,5,2017,MANHATTAN,1053,5047,20.9
10002,10002,01M332,68,13,5,2017,MANHATTAN,1053,5047,20.9
10002,10002,01M378,96,19,5,2017,MANHATTAN,1053,5047,20.9
10002,10002,01M539,136,126,91,2017,MANHATTAN,1053,5047,20.9
10002,10002,02M131,138,54,7,2017,MANHATTAN,1053,5047,20.9
10002,10002,01M140,68,7,5,2019,MANHATTAN,1053,5047,20.9
10002,10002,01M184,94,74,24,2019,MANHATTAN,1053,5047,20.9
10002,10002,01M188,60,9,5,2019,MANHATTAN,1053,5047,20.9
10002,10002,01M332,78,12,5,2019,MANHATTAN,1053,5047,20.9
10002,10002,01M378,92,18,5,2019,MANHATTAN,1053,5047,20.9
10002,10002,01M539,140,121,82,2019,MANHATTAN,1053,5047,20.9
10002,10002,02M131,144,74,6,2019,MANHATTAN,1053,5047,20.9
10002,10002,01M140,56,9,5,2020,MANHATTAN,1053,5047,20.9
10002,10002,01M184,112,79,29,2020,MANHATTAN,1053,5047,20.9
10002,10002,01M188,49,5,5,2020,MANHATTAN,1053,5047,20.9
10002,10002,01M332,70,10,5,2020,MANHATTAN,1053,5047,20.9
10002,10002,01M378,61,12,5,2020,MANHATTAN,1053,5047,20.9
10002,10002,01M539,135,116,76,2020,MANHATTAN,1053,5047,20.9
10002,10002,02M131,110,40,5,2020,MANHATTAN,1053,5047,20.9
10003,10003,02M255,105,105,62,2015,MANHATTAN,450,3697,12.2
10003,10003,02M260,21,21,5,2015,MANHATTAN,450,3697,12.2
10003,10003,02M407,22,22,5,2015,MANHATTAN,450,3697,12.2
10003,10003,02M442,13,13,5,2015,MANHATTAN,450,3697,12.2
10003,10003,02M255,126,110,65,2016,MANHATTAN,450,3697,12.2
10003,10003,02M260,93,21,11,2016,MANHATTAN,450,3697,12.2
10003,10003,02M407,70,11,5,2016,MANHATTAN,450,3697,12.2
10003,10003,02M442,19,10,5,2016,MANHATTAN,450,3697,12.2
10003,10003,02M255,131,108,70,2017,MANHATTAN,450,3697,12.2
10003,10003,02M260,96,36,17,2017,MANHATTAN,450,3697,12.2
10003,10003,02M407,75,21,8,2017,MANHATTAN,450,3697,12.2
10003,10003,02M442,25,15,5,2017,MANHATTAN,450,3697,12.2
10003,10003,02M255,132,101,61,2019,MANHATTAN,450,3697,12.2
10003,10003,02M260,97,37,11,2019,MANHATTAN,450,3697,12.2
10003,10003,02M407,75,7,5,2019,MANHATTAN,450,3697,12.2
10003,10003,02M442,20,11,5,2019,MANHATTAN,450,3697,12.2
10003,10003,02M255,125,104,72,2020,MANHATTAN,450,3697,12.2
10003,10003,02M260,94,46,22,2020,MANHATTAN,450,3697,12.2
10003,10003,02M407,71,17,5,2020,MANHATTAN,450,3697,12.2
10003,10003,02M442,25,17,5,2020,MANHATTAN,450,3697,12.2
10004,10004,02M896,66,66,13,2015,MANHATTAN,31,256,12.1
10004,10004,02M896,126,73,13,2016,MANHATTAN,31,256,12.1
10004,10004,02M896,129,70,8,2017,MANHATTAN,31,256,12.1
10004,10004,02M896,124,49,5,2019,MANHATTAN,31,256,12.1
10004,10004,02M896,123,59,7,2020,MANHATTAN,31,256,12.1
10005,10005,NA,NA,NA,NA,NA,NA,61,567,10.8
10006,10006,NA,NA,NA,NA,NA,NA,24,258,9.3
10007,10007,NA,NA,NA,NA,NA,NA,58,611,9.5
10009,10009,01M034,8,8,5,2015,MANHATTAN,689,4627,14.9
10009,10009,01M450,16,16,5,2015,MANHATTAN,689,4627,14.9
10009,10009,01M839,39,39,6,2015,MANHATTAN,689,4627,14.9
10009,10009,01M034,61,10,5,2016,MANHATTAN,689,4627,14.9
10009,10009,01M450,106,11,5,2016,MANHATTAN,689,4627,14.9
10009,10009,01M839,122,63,8,2016,MANHATTAN,689,4627,14.9
10009,10009,01M034,58,6,5,2017,MANHATTAN,689,4627,14.9
10009,10009,01M450,94,16,5,2017,MANHATTAN,689,4627,14.9
10009,10009,01M839,126,66,14,2017,MANHATTAN,689,4627,14.9
10009,10009,01M034,47,5,5,2019,MANHATTAN,689,4627,14.9
10009,10009,01M450,106,25,5,2019,MANHATTAN,689,4627,14.9
