1,modzcta,all_years_avg_testers,all_years_avg_offers,all_years_wt_avg,2015_19_avg_testers,2015_19_avg_offers,2015_19_wt_avg,avg_testers_2020,avg_offers_2020,wt_avg_2020,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020,cum_ave_death_rate
1,10001,5,5,5,7.5,7.5,5,5,5,5,365,2373,15.4,NA,47.1,21.7,NA,NA,0,NA,0,NA,NA,22.933333333333337
2,10002,36.9285714285714,28.3571428571429,43.2459677419355,39.9285714285714,31.8571428571429,41.7459677419355,38.7142857142857,18.5714285714286,42.3874538745387,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6,51.78
3,10003,42.75,32.25,44.1739130434783,39.75,28.75,42.1739130434783,46,26,47.1195652173913,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
4,10004,62.5,36,10,57.5,31,9,59,7,7,31,256,12.1,0,NA,0,NA,NA,NA,NA,NA,0,0,0
5,10009,19.5,11.3333333333333,6.11904761904762,25,17.3333333333333,5.61904761904762,18,6,6.83333333333333,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
6,10010,80.5,50.5,40.5120481927711,83.5,53.5,42.5120481927711,78,18.3333333333333,38.5042735042735,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA,10.8
7,10011,97.5,75,99.2112676056338,97.5,75,95.2112676056338,88,61,112.545454545455,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
8,10021,255,152.5,75.5,274.5,172,75.5,227,73,73,561,4291,13.1,24,104.6,26.2,NA,0,NA,0,NA,NA,NA,30.959999999999997
9,10023,11.3333333333333,10,7,15.8333333333333,14.5,10,15.3333333333333,7.33333333333333,9.41304347826087,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10,10024,53.8333333333333,40,28.656976744186,55.8333333333333,42,26.656976744186,49.6666666666667,24.3333333333333,25.4429530201342,691,4880,14.2,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
11,10025,51.25,37.375,84.2464114832536,48.25,34.375,79.2464114832536,49.5,20.375,72.3661616161616,1338,8539,15.7,24,173.5,43.7,7.6,NA,NA,NA,NA,5.5,13.1,62.2
12,10026,5,5,5,5,5,5,5,5,5,639,3141,20.3,12.9,113.8,33.6,NA,NA,NA,NA,NA,NA,NA,53.43333333333333
13,10027,22,12.25,7.16,23,13.75,7.66,18.6666666666667,6.11111111111111,6.19047619047619,1026,4767,21.5,26.8,149.9,22.1,NA,NA,NA,NA,NA,NA,NA,66.26666666666667
14,10029,17.3,11.2,11.1502732240437,18.8,13.2,12.6502732240437,16,7.1,11.95625,1812,7494,24.2,32,226.3,53.7,7.7,NA,NA,NA,NA,6.4,14.1,79.925
15,10030,7.16666666666667,6.5,5,6.16666666666667,5,5,8,5,5,500,2257,22.2,47.8,140.1,23.9,NA,NA,NA,NA,0,NA,NA,70.6
16,10031,12,11,5,9,8,5,17.5,5,5,1312,5630,23.3,22,176.2,30.5,10.2,NA,0,NA,NA,NA,20.3,47.78
17,10032,11,6,5,12,7.5,5,7.75,5,5,1511,6281,24.1,41.2,228.4,36.5,7.9,NA,0,NA,0,NA,17.4,62.8
18,10033,6.75,6.5,5,6.75,6,5,8,5,5,1344,5648,23.8,25.6,158.9,41,NA,NA,NA,0,NA,NA,10.3,56.375
19,10034,13.5,9.5,5,13,9,5,14.2,5,5,707,3388,20.9,18.9,149.1,21.3,NA,NA,NA,0,0,0,NA,47.325
20,10035,12.75,8.5,5,10.75,6.5,5,12.5,5,5,950,3956,24,56.8,309.3,51.1,34.1,NA,NA,NA,0,NA,14.2,112.825
21,10036,5,5,5,9.5,9.5,5,5,5,5,416,2667,15.6,22,121.1,33,NA,NA,0,0,0,0,NA,35.22
22,10038,44,32,20.5185185185185,44.5,32.5,23.5185185185185,47.5,12,13.1052631578947,250,1524,16.4,NA,83.1,43.7,0,NA,0,0,0,NA,NA,25.36
23,10039,8,5,5,8,5,5,5,5,5,516,2235,23.1,NA,191.3,47.8,22.1,NA,NA,0,0,0,25.8,65.3
24,10040,18.1666666666667,10.6666666666667,6.28813559322034,20.1666666666667,13.1666666666667,6.28813559322034,16.3333333333333,5.33333333333333,5.6530612244898,1111,4378,25.4,40.9,293.4,54.6,15.9,NA,NA,0,NA,NA,13.6,80.96
25,10044,7,7,5,7,7,5,9,5,5,235,1036,22.7,77.1,214.2,68.5,NA,NA,0,NA,0,0,0,89.94999999999999
26,10065,7,5,5,7,5,5,5,5,5,330,2892,11.4,NA,103.9,NA,NA,NA,NA,NA,0,0,NA,103.9
27,10075,21,21,5,17,17,5,37,5,5,425,2546,16.7,52.1,108.5,52.1,NA,NA,NA,0,NA,0,NA,53.175
28,10128,106,89,68,105.5,88.5,63,115,73,73,631,4991,12.6,NA,63.2,20.5,NA,0,NA,NA,NA,0,NA,27.9
29,10280,46,32.5,15.5,46,32.5,14.5,52,18,18,52,494,10.5,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
30,10282,49,28,8.5,53,32,8.5,45,6,6,71,361,19.7,0,161.5,NA,NA,0,NA,NA,NA,NA,0,53.833333333333336
31,10301,36,17.5,5.28571428571429,36.5,18,5.28571428571429,30,5,5,1176,4592,25.6,25.7,254.5,51.4,NA,0,NA,0,NA,NA,30.8,66.32
32,10302,57,28,5,58,29,5,51,5,5,633,1987,31.9,27,146.1,27,0,0,0,0,0,NA,37.9,28.585714285714285
33,10304,29.1666666666667,16,8,31.6666666666667,18.5,7.5,25,6.66666666666667,8.13333333333333,1380,4909,28.1,54.9,310.4,71.6,16.7,NA,NA,0,0,NA,47.7,90.72
34,10306,84.5,52,10,88.5,56,11,93,9,9,1448,6102,23.7,30.3,128.8,18.9,9.5,NA,NA,0,NA,37.9,87.1,37.5
