zip,modzcta,dbn,feeder_school,n_hs_applicants,n_testers,n_offers,year,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020
10001,10001,02M933,CITY KNOLL MIDDLE SCHOOL,5,5,5,2015,365,2373,15.4,NA,47.1,21.7,NA,NA,0,NA,0,NA,NA
10001,10001,02M933,CITY KNOLL MIDDLE SCHOOL,91,23,5,2016,365,2373,15.4,NA,47.1,21.7,NA,NA,0,NA,0,NA,NA
10001,10001,02M933,CITY KNOLL MIDDLE SCHOOL,78,17,5,2017,365,2373,15.4,NA,47.1,21.7,NA,NA,0,NA,0,NA,NA
10001,10001,02M933,CITY KNOLL MIDDLE SCHOOL,85,24,5,2018,365,2373,15.4,NA,47.1,21.7,NA,NA,0,NA,0,NA,NA
10001,10001,02M933,CITY KNOLL MIDDLE SCHOOL (02M933),60,10,5,2019,365,2373,15.4,NA,47.1,21.7,NA,NA,0,NA,0,NA,NA
10001,10001,02M933,CITY KNOLL MIDDLE SCHOOL (02M933),41,5,5,2020,365,2373,15.4,NA,47.1,21.7,NA,NA,0,NA,0,NA,NA
10002,10002,01M140,P.S. 140 NATHAN STRAUS,14,14,5,2015,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M184,P.S. 184M SHUANG WEN,39,39,19,2015,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M188,P.S. 188 THE ISLAND SCHOOL,5,5,5,2015,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,5,5,5,2015,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M378,SCHOOL FOR GLOBAL LEADERS,14,14,5,2015,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",114,114,81,2015,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,02M131,M.S. 131,57,57,12,2015,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M140,P.S. 140 NATHAN STRAUS,59,10,5,2016,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M184,P.S. 184M SHUANG WEN,80,64,28,2016,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M188,P.S. 188 THE ISLAND SCHOOL,60,11,5,2016,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,88,13,5,2016,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M378,SCHOOL FOR GLOBAL LEADERS,88,10,5,2016,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",121,109,77,2016,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,02M131,M.S. 131,169,61,17,2016,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
