"","dbn","n_hs_applicants","n_testers","n_offers","year","borough","zip"
"1","01M034",8,8,5,"2015","MANHATTAN",10009
"2","01M140",14,14,5,"2015","MANHATTAN",10002
"3","01M184",39,39,19,"2015","MANHATTAN",10002
"4","01M188",5,5,5,"2015","MANHATTAN",10002
"5","01M332",5,5,5,"2015","MANHATTAN",10002
"6","01M378",14,14,5,"2015","MANHATTAN",10002
"7","01M450",16,16,5,"2015","MANHATTAN",10009
"8","01M539",114,114,81,"2015","MANHATTAN",10002
"9","01M839",39,39,6,"2015","MANHATTAN",10009
"10","02M104",195,195,50,"2015","MANHATTAN",10010
"11","02M114",97,97,63,"2015","MANHATTAN",10128
"12","02M126",76,76,29,"2015","MANHATTAN",10038
"13","02M131",57,57,12,"2015","MANHATTAN",10002
"14","02M167",283,283,78,"2015","MANHATTAN",10021
"15","02M177",5,5,5,"2015","MANHATTAN",10075
"16","02M217",5,5,5,"2015","MANHATTAN",10044
"17","02M225",9,9,5,"2015","MANHATTAN",10065
"18","02M255",105,105,62,"2015","MANHATTAN",10003
"19","02M260",21,21,5,"2015","MANHATTAN",10003
"20","02M276",40,40,13,"2015","MANHATTAN",10280
"21","02M289",53,53,11,"2015","MANHATTAN",10282
"22","02M312",162,162,108,"2015","MANHATTAN",10011
"23","02M347",5,5,5,"2015","MANHATTAN",10010
"24","02M397",5,5,5,"2015","MANHATTAN",10038
"25","02M407",22,22,5,"2015","MANHATTAN",10003
"26","02M408",5,5,5,"2015","MANHATTAN",10036
"27","02M413",49,49,14,"2015","MANHATTAN",10010
"28","02M422",51,51,17,"2015","MANHATTAN",10011
"29","02M442",13,13,5,"2015","MANHATTAN",10003
"30","02M896",66,66,13,"2015","MANHATTAN",10004
"31","02M933",5,5,5,"2015","MANHATTAN",10001
"32","03M054",243,243,156,"2015","MANHATTAN",10025
"33","03M076",14,14,5,"2015","MANHATTAN",10027
"34","03M149",5,5,5,"2015","MANHATTAN",10026
"35","03M180",25,25,5,"2015","MANHATTAN",10027
"36","03M191",5,5,5,"2015","MANHATTAN",10023
"37","03M243",42,42,20,"2015","MANHATTAN",10024
"38","03M245",69,69,19,"2015","MANHATTAN",10024
"39","03M247",19,19,5,"2015","MANHATTAN",10025
"40","03M250",6,6,5,"2015","MANHATTAN",10025
"41","03M256",11,11,5,"2015","MANHATTAN",10025
"42","03M258",19,19,5,"2015","MANHATTAN",10025
"43","03M291",5,5,5,"2015","MANHATTAN",10023
"44","03M333",30,30,11,"2015","MANHATTAN",10025
"45","03M334",61,61,54,"2015","MANHATTAN",10024
"46","03M415",5,5,5,"2015","MANHATTAN",10026
"47","03M421",5,5,5,"2015","MANHATTAN",10025
"48","03M859",12,12,5,"2015","MANHATTAN",10023
"49","03M860",5,5,5,"2015","MANHATTAN",10026
"50","03M862",85,85,15,"2015","MANHATTAN",10025
"51","04M007",5,5,5,"2015","MANHATTAN",10035
"52","04M012",47,47,27,"2015","MANHATTAN",10029
"53","04M057",26,26,5,"2015","MANHATTAN",10029
"54","04M072",5,5,5,"2015","MANHATTAN",10029
"55","04M108",11,11,5,"2015","MANHATTAN",10029
"56","04M171",43,43,5,"2015","MANHATTAN",10029
"57","04M206",19,19,5,"2015","MANHATTAN",10035
"58","04M224",25,25,5,"2015","MANHATTAN",10029
"59","04M372",10,10,5,"2015","MANHATTAN",10029
"60","04M377",12,12,5,"2015","MANHATTAN",10035
"61","04M610",5,5,5,"2015","MANHATTAN",10029
"62","04M825",6,6,5,"2015","MANHATTAN",10029
"63","04M964",5,5,5,"2015","MANHATTAN",10029
"64","05M123",5,5,5,"2015","MANHATTAN",10030
"65","05M129",10,10,5,"2015","MANHATTAN",10027
"66","05M148",5,5,5,"2015","MANHATTAN",10030
"67","05M161",22,22,5,"2015","MANHATTAN",10027
"68","05M286",6,6,5,"2015","MANHATTAN",10027
"69","05M362",38,38,19,"2015","MANHATTAN",10027
"70","05M499",11,11,5,"2015","MANHATTAN",10039
"71","05M514",10,10,5,"2015","MANHATTAN",10027
"72","05M670",10,10,5,"2015","MANHATTAN",10030
"73","06M018",7,7,5,"2015","MANHATTAN",10034
"74","06M052",14,14,5,"2015","MANHATTAN",10034
"75","06M143",8,8,5,"2015","MANHATTAN",10033
"76","06M187",38,38,7,"2015","MANHATTAN",10040
"77","06M209",5,5,5,"2015","MANHATTAN",10031
"78","06M210",8,8,5,"2015","MANHATTAN",10031
"79","06M223",75,75,5,"2015","MANHATTAN",10027
"80","06M278",21,21,5,"2015","MANHATTAN",10034
"81","06M293",16,16,5,"2015","MANHATTAN",10040
"82","06M311",18,18,5,"2015","MANHATTAN",10034
"83","06M319",18,18,5,"2015","MANHATTAN",10032
"84","06M322",5,5,5,"2015","MANHATTAN",10040
"85","06M324",26,26,5,"2015","MANHATTAN",10032
"86","06M328",7,7,5,"2015","MANHATTAN",10032
"87","06M346",5,5,5,"2015","MANHATTAN",10032
"88","06M348",5,5,5,"2015","MANHATTAN",10033
"89","06M349",5,5,5,"2015","MANHATTAN",10033
"90","06M366",5,5,5,"2015","MANHATTAN",10034
"91","06M528",7,7,5,"2015","MANHATTAN",10033
"92","07X005",5,5,5,"2015","BRONX",10455
"93","07X029",16,16,5,"2015","BRONX",10451
"94","07X031",8,8,5,"2015","BRONX",10451
"95","07X151",11,11,5,"2015","BRONX",10451
"96","07X221",10,10,5,"2015","BRONX",10454
"97","07X223",18,18,5,"2015","BRONX",10454
