"","dbn","feeder_school","n_hs_applicants","n_testers","n_offers","year","zip"
"1","01M034","P.S. 034 FRANKLIN D. ROOSEVELT",8,8,5,"2015"," 10009"
"2","01M140","P.S. 140 NATHAN STRAUS",14,14,5,"2015"," 10002"
"3","01M184","P.S. 184M SHUANG WEN",39,39,19,"2015"," 10002"
"4","01M188","P.S. 188 THE ISLAND SCHOOL",5,5,5,"2015"," 10002"
"5","01M332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",5,5,5,"2015"," 10002"
"6","01M378","SCHOOL FOR GLOBAL LEADERS",14,14,5,"2015"," 10002"
"7","01M450","EAST SIDE COMMUNITY SCHOOL",16,16,5,"2015"," 10009"
"8","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",114,114,81,"2015"," 10002"
"9","01M839","TOMPKINS SQUARE MIDDLE SCHOOL",39,39,6,"2015"," 10009"
"10","02M104","J.H.S. 104 SIMON BARUCH",195,195,50,"2015"," 10010"
"11","02M114","EAST SIDE MIDDLE SCHOOL",97,97,63,"2015"," 10128"
"12","02M126","P.S. 126 JACOB AUGUST RIIS",76,76,29,"2015"," 10038"
"13","02M131","M.S. 131",57,57,12,"2015"," 10002"
"14","02M167","J.H.S. 167 ROBERT F. WAGNER",283,283,78,"2015"," 10021"
"15","02M177","YORKVILLE EAST MIDDLE SCHOOL",5,5,5,"2015"," 10075"
"16","02M217","P.S./I.S. 217 ROOSEVELT ISLAND",5,5,5,"2015"," 10044"
"17","02M225","ELLA BAKER SCHOOL",9,9,5,"2015"," 10065"
"18","02M255","M.S. 255 SALK SCHOOL OF SCIENCE",105,105,62,"2015"," 10003"
"19","02M260","M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS",21,21,5,"2015"," 10003"
"20","02M276","BATTERY PARK CITY SCHOOL",40,40,13,"2015"," 10280"
"21","02M289","I.S. 289",53,53,11,"2015"," 10282"
"22","02M312","NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES",162,162,108,"2015"," 10011"
"23","02M347","THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL",5,5,5,"2015"," 10010"
"24","02M397","SPRUCE STREET SCHOOL",5,5,5,"2015"," 10038"
"25","02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",22,22,5,"2015"," 10003"
"26","02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",5,5,5,"2015"," 10036"
"27","02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",49,49,14,"2015"," 10010"
"28","02M422","QUEST TO LEARN",51,51,17,"2015"," 10011"
"29","02M442","BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",13,13,5,"2015"," 10003"
"30","02M896","LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL",66,66,13,"2015"," 10004"
"31","02M933","CITY KNOLL MIDDLE SCHOOL",5,5,5,"2015"," 10001"
"32","03M054","J.H.S. 054 BOOKER T. WASHINGTON",243,243,156,"2015"," 10025"
"33","03M076","P.S. 076 A. PHILIP RANDOLPH",14,14,5,"2015"," 10027"
"34","03M149","P.S. 149 SOJOURNER TRUTH",5,5,5,"2015"," 10026"
"35","03M180","P.S. 180 HUGO NEWMAN",25,25,5,"2015"," 10027"
"36","03M191","THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS",5,5,5,"2015"," 10023"
"37","03M243","M.S. 243 CENTER SCHOOL",42,42,20,"2015"," 10024"
