"","modzcta","avg_testers","avg_offers","wt_avg"
"1",10001,NA,NA,NA
"2",10002,41.0238095238095,19.2619047619048,41.975043528729
"3",10003,41.1666666666667,22,45.5354251012146
"4",10004,63.3333333333333,8.83333333333333,9.12105263157895
"5",10005,NA,NA,NA
"6",10006,NA,NA,NA
"7",10007,NA,NA,NA
"8",10009,26.1666666666667,6.11111111111111,7.49893842887473
"9",10010,89,23.6111111111111,49.6379525593009
"10",10011,95,60.9166666666667,99.3385964912281
"11",10012,NA,NA,NA
"12",10013,NA,NA,NA
"13",10014,87,17,18.5172413793103
"14",10016,NA,NA,NA
"15",10017,NA,NA,NA
"16",10018,NA,NA,NA
"17",10019,NA,NA,NA
"18",10021,255.166666666667,74,74.2050947093403
"19",10022,NA,NA,NA
"20",10023,14.4705882352941,6.47058823529412,9.29674796747967
"21",10024,55.6666666666667,26.3333333333333,28.0209580838323
"22",10025,48.9375,22.4375,86.688803746275
"23",10026,5,5,5
"24",10027,NA,NA,NA
"25",10028,NA,NA,NA
"26",10029,19.0677966101695,7.86440677966102,14.4497777777778
"27",10030,7.66666666666667,5,5
"28",10031,12.9166666666667,5,5
"29",10032,13.625,5,5
"30",10033,7.08333333333333,5,5
"31",10034,13.6333333333333,5.13333333333333,5.23471882640587
"32",10035,10.4583333333333,5,5
"33",10036,NA,NA,NA
"34",10037,NA,NA,NA
"35",10038,48.7272727272727,14.6363636363636,17.8059701492537
"36",10039,7.83333333333333,5,5
"37",10040,18.8333333333333,5.33333333333333,5.71681415929203
"38",10044,7.5,5,5
"39",10065,5.66666666666667,5,5
"40",10069,NA,NA,NA
"41",10075,NA,NA,NA
"42",10128,111.166666666667,66.6666666666667,67.0329835082459
"43",10280,51.6666666666667,18.1666666666667,18.4516129032258
"44",10282,48.8333333333333,6.83333333333333,6.88054607508532
"45",10301,35.75,5.08333333333333,5.05594405594406
"46",10302,84.8333333333333,5.66666666666667,5.95874263261297
"47",10303,NA,NA,NA
"48",10304,32.2222222222222,6.16666666666667,6.89137931034483
"49",10305,NA,NA,NA
